%    µm         	nN
   0.087	   4.499
   0.080	   4.543
   0.073	   4.587
   0.065	   4.631
   0.058	   4.676
   0.050	   4.720
   0.043	   4.765
   0.036	   4.810
   0.028	   4.856
   0.021	   4.901
   0.013	   4.947
   0.006	   4.993
  -0.001	   5.040
  -0.009	   5.089
  -0.016	   5.137
  -0.024	   5.183
  -0.031	   5.233
  -0.038	   5.283
  -0.046	   5.332
  -0.053	   5.382
  -0.060	   5.433
  -0.068	   5.482
  -0.075	   5.595
  -0.082	   5.604
  -0.090	   5.626
  -0.097	   5.737
  -0.104	   5.780
  -0.112	   5.816
  -0.119	   5.879
  -0.126	   5.929
  -0.134	   5.946
  -0.141	   6.019
